Calories,Carbs,Description,Fat,Image,Ingredients,Protein,Title,link
472,2 g,"Bring the punch of balsamic glaze to life with this sweet recipe. When combined with the tartness of the lime and garnished with the fresh taste of chopped green onions, it's a clear win-win. Prefer a spicy kick? Add a sprinkling of chili powder to take things up a notch.",21 g,tangy-balsamic-glaze-wings-header-960x540.jpg,4 lb chicken drumette;⅓ cup balsamic vinegar;1 tsp chili powder;1 tbsp lime juice,69 g,Tangy Balsamic Glaze Wings,https://www.bodybuilding.com/recipes/tangy-balsamic-glaze-wings
149,14 g,"The protein pie crust recipe would be great for any pie, but it's absolutely perfect with this light and fruity tart filling! You can also make this the night before and garnish with fruit just before serving. Make two if you would like more generous helpings. Trust me, you will!",5 g,fruit-tart-with-protein-crust-header-960x540.jpg,1½ cup oat flour;120 g Jamie Eason Signature Series Whey Protein Isolate;¼ tsp table salt;3 tbsp coconut oil;1 whole egg;2 tbsp water;16 oz nonfat plain Greek yogurt;½ cup powdered Stevia;½ tsp vanilla extract;1 cup strawberries;1 kiwi;½ cup blueberries,12 g,Fruit Tart With Protein Crust,https://www.bodybuilding.com/recipes/fruit-tart-with-protein-crust
193,9 g,"This is my favorite recipe from my new pumpkin recipe e-book. Not only is the recipe high in protein, but it only takes three minutes to make. Basically, in the time it takes you to read this recipe, you could whip up a batch of this fun-sized dessert. This good-for-you treat is guilt-free so, as the title of my e-book says, ""Eat it all!""",11 g,pumpkin-pie-fudge-header-960x540.jpg,"1 tbsp pumpkin, canned;1 tbsp coconut butter;½ scoop(s) vanilla whey protein powder;1 tbsp fat-free cottage cheese;1 pinch cinnamon;⅛ tsp nutmeg;1 tbsp Walden Farms Syrup",16 g,Pumpkin Pie Fudge,https://www.bodybuilding.com/recipes/pumpkin-pie-fudge
432,38 g,Expand your flavor horizons by pairing protein-rich red meat with heart-healthy broccoli and antioxidant-packed blackberries. Why didn't we think of this sooner?,13 g,beef-broccoli-blackberries-header-960x540.jpg,"24 oz lean flank steak;3 cup broccoli;1 red bell pepper, sliced;1 yellow pepper, sliced;½ cup beef stock;½ cup light soy sauce;1 cup blackberries;1 tbsp garlic, minced;1 tbsp ground ginger;1 tbsp sesame seed oil;2 tbsp arrowroot flour;1½ tbsp rice vinegar;3 tbsp organic honey",40 g,Beef and Broccoli Bowl,https://www.bodybuilding.com/recipes/beef-and-broccoli-bowl
294,16 g,"It's time to add some diesel to the standard stir-fry. Combine a delicious pile of protein, veggies, and carbs in this easy-to-make recipe, and give your gains some serious fuel!",12 g,healthy-stir-fry-header-960x540.jpg,"3 tbsp liquid aminos;½ tbsp ginger, pureed;1 tbsp rice vinegar;1 tbsp honey;1 whole orange juice, fresh squeezed;1½ tbsp arrowroot starch;1½ piece chicken breast, cut into cubes;1 cup edamame;1 cup, chopped red bell pepper;⅓ cup stalk celery;½ cup sliced mushrooms, crimini;1 cup broccoli;⅓ cup green onion, chopped;⅓ tbsp garlic, minced;2 tbsp extra virgin olive oil",30 g,The Perfect Healthy Stir-Fry!,https://www.bodybuilding.com/recipes/the-perfect-healthy-stir-fry
107,3 g,This quick and easy turkey satay recipe is the perfect addition to your healthy meal plan. It's tickle-your-taste-buds yummy and packed with clean protein!,1 g,thai-turkey-satay-skewers-header-960x540.jpg,"40 oz turkey breast tenderloins, cubed;1½ tbsp garlic, minced;3 tbsp light soy sauce;½ tbsp turmeric;2 tbsp curry powder;½ tsp cayenne pepper;½ tsp wasabi powder;1 tsp ginger, powdered;3 tbsp lime juice;½ cup rice vinegar",20 g,Thai Turkey Satay Skewers,https://www.bodybuilding.com/recipes/thai-turkey-satay-skewers
267,6 g,Add an extra element to honey-mustard chicken with these wings. The addition of turmeric and curry powder will give them a flavor-packed taste and bright-yellow hue that people can't help but gravitate toward.,12 g,golden-mustard-wings-header-960x540.jpg,3 lb chicken drumette;1 tbsp coconut oil;1 tbsp apple cider vinegar;1 tsp garlic powder;½ tsp turmeric;1 tsp curry powder;¼ cup honey,34 g,Golden Mustard Wings (With A Lil' Curry),https://www.bodybuilding.com/recipes/golden-mustard-wings-with-a-lil-curry
166,8 g,Who doesn't love a good guacamole dip? Add some extra zing (and protein) to your next spread with this flavorful combination that's powered by the tanginess of Greek yogurt and the hearty goodness of smoked salmon. It's sure to be a hit with your game-day buds. You can enjoy these with fresh veggies or stuff them in some whole-wheat tacos for power-packed bites.,12 g,smoked-salmon-guacamole-header-960x540.jpg,"3 avocado;6 oz salmon, smoked;1 whole stalk celery, finely diced;⅓ cup red onion, diced;⅓ cup cilantro;2 tbsp nonfat plain Greek yogurt;1½ tbsp dijon mustard;1 tsp cumin;½ lemon;1 dash black pepper",7 g,Smoked Salmon Guacamole,https://www.bodybuilding.com/recipes/smoked-salmon-guacamole
41,2 g,"Jalapeno poppers are central to every football-themed spread. Take this all-star, easy-to-follow dish to the next level by wrapping these spicy pepper bites in protein-rich turkey bacon. The addition of Greek yogurt and absence of fried, breaded coating make this a treat that's sure to bring the festivities to life for your taste buds. There's no faster way to get the party started!",1 g,turkey-jalapeno-poppers-header-960x540.jpg,"½ lb ground 99% fat-free turkey breast;9 jalapeno peppers, halved;9 strip low-sodium turkey bacon;1 oz garlic, minced;¾ cup nonfat plain Greek yogurt;⅓ cup goat cheese;½ tbsp, ground oregano;1 tsp dill;salt and pepper to taste",6 g,Turkey Jalapeno Poppers,https://www.bodybuilding.com/recipes/turkey-jalapeno-poppers
53,6 g,"Just like salty, crunchy sweet-potato chips, I can't get enough of turkey-wrapped asparagus. Long story short, they make a great addition to any game-day spread. They're easy to prepare, high in protein, veggie rich, and most of all, delicious.

If you're looking to add some variety and additional flavor, try brushing the wrapped spears with low-sodium barbecue sauce mixed with organic, raw honey to make a delicious, sweet glaze. Also try homemade teriyaki sauce, spicy mustard mixed with organic, raw honey, or even homemade lemon glaze—the options are virtually endless.",1 g,bbq-turkey-wrapped-asparagus-header-960x540.jpg,8 oz (1 serving) low-fat deli turkey;8 asparagus spears;½ tsp low-sugar barbecue sauce,6 g,BBQ Turkey-Wrapped Asparagus,https://www.bodybuilding.com/recipes/bbq-turkey-wrapped-asparagus
465,19 g,"Who doesn't love the classic flavor of succulent Kung Pao chicken? If you're anything like me, the spicy concoction of garlic, aromatic ginger, red chili sauce, and rice vinegar is enough to make your mouth water.",19 g,spicy-kung-pao-chicken-graphics-1-header-960x540.jpg,"2 lb chicken breast;8 Tbsp garlic, chopped;2 cup snow peas;2½ cup, chopped red bell pepper, sliced;1 cup cashews, chopped;1 tbsp extra virgin olive oil;4 tbsp liquid aminos;4 tbsp water;2 tbsp tomato paste;1 tbsp rice vinegar;2 tbsp coconut sugar;1 tbsp ginger, minced;1 tbsp corn starch;1 tbsp green onion, chopped;1 tbsp red chili sauce",53 g,Spicy Kung Pao Chicken,https://www.bodybuilding.com/recipes/spicy-kung-pao-chicken
248,26 g,"What's better than the meaty texture of grilled shrimp? How about the addition of grilled avocado? This easy grilling recipe uses minimal ingredients but packs in maximum flavor. Throw on some peppers and onions and top with a lime-infused marinade. The whole thing takes about 30 minutes to whip up. The best part: It passes the #FitMenCook 3-color meal rule.

What's that, you ask? Challenge yourself to eat at least three different colors at each meal. The colors can only be from a vegetable, fruit, grain, or legume. Animal-based proteins are not included.",9 g,grilled-shrimp-and-avocado-kabobs-header-960x540.jpg,"1 lb prawns;1½ avocado;1 red bell pepper;1 orange bell pepper;1 yellow bell pepper;1 red onion, sliced;1 tbsp garlic, pureed;1 tsp cayenne pepper;salt and pepper to taste;½ tbsp olive oil;2 tbsp lime juice;1 tbsp apple cider vinegar;½ tsp ginger, pureed;1½ tsp garlic, pureed;⅛ cup cilantro;salt and pepper to taste",15 g,Grilled Shrimp And Avocado Kabobs,https://www.bodybuilding.com/recipes/grilled-shrimp-and-avocado-kabobs
640,43 g,Combining different styles and cultures in meals is a great way to bring creativity to your diet. This is a fusion dish where Mediterranean-inspired hummus meets Latin quesadillas for a flavorful taste explosion your guests are sure to love.,21 g,healthy-chicken-and-veggie-hummus-quesadillas-header-960x540.jpg,"¼ cup roasted red pepper hummus;10 oz chicken breast;1 piece whole portabella mushroom caps;4 whole 100-calorie multi-grain tortilla;4 tbsp goat cheese;½ cup red onion, diced;2 tbsp garlic, minced",70 g,Healthy Chicken And Veggie Hummus Quesadillas,https://www.bodybuilding.com/recipes/healthy-chicken-and-veggie-hummus-quesadillas
820,104 g,"Seafood—it's what's for dinner. I love this easy-to-make, savory dish. It's comforting, rich in protein, and serves up a hearty dose of carbs to replenish your glycogen stores post-workout.",14 g,one-pot-wonder-post-workout-paella-graphics-1-header-960x540.jpg,"1½ lb chicken breast;1½ lb small shrimp, peeled and deveined;2 tbsp coconut oil;4 cup brown rice;2 cup chicken bone broth;½ whole red onion, diced;1 medium whole (2-3/5  dia) tomatoes;½ cup snow peas;1 lemon yields lemon juice;1 tbsp garlic powder;1 tbsp paprika;½ tsp saffron;1 salt and pepper to taste;1 bunch flat-leaf parsley",70 g,Post Workout Paella,https://www.bodybuilding.com/recipes/post-workout-paella
107,18 g,"Some things are just better roasted. For example, brussels sprouts, yellow baby potatoes, fennel, and radishes. If you've never tried roasted radish—I hadn't until recently—you're in for a treat. This tart root takes on a much milder, sweeter profile when cooked and pairs delightfully with the Dijon maple glaze.",3 g,roasted-spring-vegetables-with-maple-glaze-header-960x540.jpg,"1½ lb potatoes;2 bulb fennel bulb, stalks removed;1 lb radishes, greens removed;1 lb brussels sprouts;2 tbsp olive oil;½ tsp, ground black pepper;½ tsp kosher salt;3 tbsp lemon juice;1 tbsp maple syrup;1 tbsp dijon mustard",3 g,Roasted Spring Vegetables With Dijon Maple Glaze,https://www.bodybuilding.com/recipes/roasted-spring-vegetables-with-dijon-maple-glaze
495,4 g,"If you're a red-meat aficionado, you know there are few things as satisfying as sinking your teeth into a perfectly-done leg of lamb. My slow-and-low method results in an insanely tender roast that's delectable with or without the savory red wine sauce.",31 g,lemon-garlic-leg-of-lamb-header-960x540.jpg,"5 lb boneless leg of lamb roast;¼ cup lemon juice;8 clove garlic, minced;3 tbsp rosemary;salt and pepper to taste;2 cup low-sodium chicken broth;1 cup red wine vinegar;1 tbsp cornstarch;2 tbsp water;salt and pepper to taste",49 g,Lemon Garlic Leg Of Lamb & Red Wine Sauce,https://www.bodybuilding.com/recipes/lemon-garlic-leg-of-lamb-and-red-wine-sauce
66,3 g,"Ditch the crust for an appetizer that's light lower in carbs yet full of flavor! These little guys are surprisingly hearty thanks to the protein from the egg whites and the fiber from all those veggies. Did I mention the cheese? Yeah, that's probably my favorite part. Plus, you can either prepare these the night before and serve them cold, or whip them up fresh in the morning and serve warm. They're great either way!",3 g,mozzarella-asparagus-and-leek-mini-quiches-header-960x540.jpg,"1½ cup asparagus, ends trimmed and chopped into 1/2-inch pieces;1 cup leeks, bulb and lower leaf-portion, chopped;1 cup mushrooms, sliced;2 clove garlic, minced;6 whole egg;6 egg whites;½ cup fat-free cottage cheese;½ tsp, ground black pepper;½ tsp table salt;½ tsp, ground basil, dried;⅛ tsp nutmeg;1½ cup part-skim mozzarella cheese",7 g,"Mozzarella, Asparagus, And Leek Mini-Quiches",https://www.bodybuilding.com/recipes/mozzarella-asparagus-and-leek-mini-quiches
64,5 g,"Don't let the fancy name fool you! These crostinis are easy-peasy to throw together. I'm talking ""Oh crap, the guests are already here?"" easy. Not to mention, they taste incredible, like something you would order at a great restaurant.",3 g,smoked-salmon-and-baby-dill-crostini-header-960x540.jpg,"8 oz salmon, smoked;16 rye melba toast crackers;1 container (8 oz) light garlic and herbs cheese spread;3 sprigs fresh dill",4 g,Smoked Salmon And Baby Dill Crostini,https://www.bodybuilding.com/recipes/smoked-salmon-and-baby-dill-crostini
79,7 g,"Although double chocolate chip muffins might not seem like the smartest breakfast choice, these muffins have a secret healthy ingredient: zucchini! This low-carb veggie adds moisture, depth of flavor, and extra nutrients to these ridiculously decadent chocolate muffins.",3 g,double-chocolate-chip-zucchini-muffins-header-960x540.jpg,80 g Jamie Eason Signature Series Whey Protein Isolate;⅔ cup powdered Stevia;½ cup almond flour;1 tsp baking powder;½ tsp baking soda;¼ tsp salt;½ cup nonfat plain Greek yogurt;½ cup liquid egg whites;½ cup unsweetened applesauce;3 tbsp lemon zest;2 tbsp lemon juice;1 tsp vanilla extract;2 tbsp black chia seeds,8 g,Double Chocolate Chip Zucchini Muffins,https://www.bodybuilding.com/recipes/double-chocolate-chip-zucchini-muffins
79,7 g,"These are a classic take on the lemon poppy seed muffins, but remixed with healthy chia seeds! Chia seeds are abundant in vitamins, minerals, and antioxidants. They're also high in fiber and protein to help suppress any grumbling stomachs. And as a final benefit, they draw in moisture and improve the texture of any baked goods you put them in. Many vegan bakers use them as a substitute for egg yolks, and no one is the wiser!",3 g,lemon-chia-seed-protein-muffins-header-960x540.jpg,80 g Jamie Eason Signature Series Whey Protein Isolate;⅔ cup powdered Stevia;½ cup almond flour;1 tsp baking powder;½ tsp baking soda;¼ tsp salt;½ cup nonfat plain Greek yogurt;½ cup liquid egg whites;½ cup unsweetened applesauce;3 tbsp lemon zest;2 tbsp lemon juice;1 tsp vanilla extract;2 tbsp black chia seeds,8 g,Lemon Chia Seed Protein Muffins,https://www.bodybuilding.com/recipes/lemon-chia-seed-protein-muffins
